BB,MR,BG,Ph,Th,MO
0.108,0.11,0.103,1.9,0.835,0.107
0.108,0.111,0.106,1.85,1.314,0.105
0.108,0.112,0.107,1.89,1.66,0.105
0.1115,0.107,0.1076,0.79,,0.106
0.1069,0.107,0.1051,0.87,,0.106
0.1103,0.107,0.106,1.8,,0.108
0.14,0.106,0.1055,1.7,,0.106
0.13,0.106,0.106,0.764,,0.1055
0.14,0.108,0.106,0.9,,0.1045
0.13,0.107,0.106,1.09,,0.1054
0.112,0.107,0.104,1.275,,0.1003
0.118,,0.1045,1.229,,0.1011
0.114,,0.104,1.22,,0.1003
,,0.106,1.46,,0.106
,,0.106,1.47,,0.105
,,0.108,1.48,,0.11
,,0.1045,0.341,,0.104
,,0.1044,0.277,,0.102
,,0.1045,0.25,,0.102
,,0.1048,,,0.104
,,,,,0.101
,,,,,0.1054
,,,,,0.1052
,,,,,0.1048
,,,,,0.105